Method,Type,Recall@10,nDCG@10,Median Latency (ms),P95 Latency (ms)
Flat,Dense,0.45719566784381593,0.3909459043534009,15.25866985321045,19.557547569274902
HNSW,Dense,0.43942303409896,0.37604001610846727,0.27000904083251953,0.43327808380126953
HNSW-INT8,Dense,0.44010890515520146,0.37696797765254453,0.2561807632446289,0.42301416397094727
BM25,Sparse,0.2780129849574294,0.21668445500943231,237.9990816116333,434.8820924758911
Hybrid (α=0.3),Hybrid,0.2780129849574294,0.2565781378732032,238.75677585601807,418.2953476905823
Hybrid (α=0.5),Hybrid,0.43056347373477,0.35574645263462445,247.41196632385254,443.34105253219604
Hybrid (α=0.7),Hybrid,0.43942303409896,0.36752544410587235,236.61935329437256,428.577172756195
